WRN 2026-06-05T00:37:20.052 ui.14401   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-06-05T00:37:22.804 ui.14453   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-06-05T00:37:22.804 ui.14453   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-06-05T00:37:22.804 ui.14453   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-06-05T00:37:22.804 ui.14453   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-05T00:37:22.804 ui.14453   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-06-05T00:44:31.019 ui.21359   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-06-05T00:44:31.019 ui.21359   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-06-05T00:44:31.019 ui.21359   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-06-05T00:44:31.019 ui.21359   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-05T00:44:31.019 ui.21359   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-06-05T00:44:34.793 ui.21387   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-06-05T00:44:34.793 ui.21387   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-06-05T00:44:34.793 ui.21387   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-06-05T00:44:34.793 ui.21387   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-05T00:44:34.793 ui.21387   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-06-05T10:27:35.562 ui.32534   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-06-05T10:27:35.562 ui.32534   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-06-05T10:27:35.562 ui.32534   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-06-05T10:27:35.562 ui.32534   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-05T10:27:35.562 ui.32534   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-06-05T12:47:59.583 ui.9081    tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-06-05T12:47:59.583 ui.9081    tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-06-05T12:47:59.590 ui.9081    tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-06-05T12:47:59.590 ui.9081    tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-05T12:47:59.591 ui.9081    tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-06-05T12:53:34.486 ui.11515   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-06-05T12:53:34.486 ui.11515   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-06-05T12:53:34.486 ui.11515   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-06-05T12:53:34.486 ui.11515   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-05T12:53:34.486 ui.11515   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-06-05T22:15:59.154 ui.31304   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-06-05T22:15:59.154 ui.31304   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-06-05T22:15:59.155 ui.31304   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-06-05T22:15:59.155 ui.31304   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-06-05T22:15:59.155 ui.31304   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
